compromised_nodes_id,key_subset_size,is_success
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
['I8'],3,False
